"year","country","population","gdp","per_capita_gdp"
1872,"Qatar",7.68926085,101.131705,16050.242525
1872,"Rwanda",792.0509175,207.8510975,256.62461
1872,"Sao.Tome.and.Principe",19.393509,7.6339558,384.9393875
1872,"Saudi.Arabia",2353.72093023256,1141.63048,1178.273
1872,"Senegal",861.5993825,520.4580525,590.7169575
1872,"Seychelles",10.68314975,9.80247105,897.295095
1872,"Sierra.Leone",677.6379975,213.3875225,307.9429225
1872,"Singapore",91.3,73.8441860465116,709.886848837209
1872,"Somalia",791.56299,401.3279225,495.8074475
1872,"South.Africa",2714.72093023256,2541.83720930233,892.481813953488
1872,"South.Korea",9762.5,6011.48780487805,614.314514634146
1872,"Spain",16315,24034,1473.12289304321
1872,"Sri.Lanka",2842,2230,784.6587
1872,"Sudan",2614.097625,1029.5995725,385.1639
1872,"Swaziland",90.0627685,31.16189825,338.3589925
1872,"Sweden",4227,6108,1444.99645138396
1872,"Switzerland",2697,5684,2107.52688172043
1872,"Syria",1601.16279069767,1398.11627906977,867.411834883721
1872,"T.and.Tobago",133.6,180.7641825,921.42865
1872,"Taiwan",2360.5,1320.70967741935,554.218038709677
1872,"Tanzania",2576.360075,523.80404,198.82059
1872,"Thailand",5864.5,3682.8,625.56466
1872,"Three.Small.Afr.",11.6568895,4.2064656,352.885515
1872,"Togo",380.49886,104.79736825,269.337115
1872,"Tunisia",1208.27906976744,786.186046511628,644.291918604651
1872,"Turkey",11942.1627906977,10122.7674418605,843.0283
1872,"UAE",21.90892875,149.8042575,8344.14515
1872,"UK",31874,105795.078,3319.16540126749
1872,"Uganda",1792.838325,590.8747,322.294775
1872,"Uruguay",364,958,2631.868
1872,"Venezuela",1699,1017.43,586.062406666667
1872,"Vietnam",10937.8139534884,5727.55813953488,515.726546511628
1872,"W.Bank.and.Gaza",441.604651162791,347.720930232558,773.811506976744
1872,"X24.Sm.E.Asia",1918.53488372093,1048.88372093023,545.035734883721
1872,"Yemen",2860.6511627907,577.1629525,481.305045
1872,"Zaire",4405.590125,1204.4038,267.34195
1872,"Zambia",828.9239775,262.8734425,310.1208925
1872,"Zimbabwe",926.378815,311.5900625,328.9228125
1872,"canada",3870,6599.124,1705.2
1872,"usa",42136,107065,2540.93886462882
1873,"Afghanistan",4313.25581395349,755.19286125,344.45514125
1873,"Algeria",3896.06976744186,2957.79069767442,746.320497674419
1873,"Angola",1372.5833625,721.6232675,500.70710875
1873,"Argentina",2033,3090.56365,1436.82865
1873,"Australia",1769,6764,3823.629
1873,"Austria",4646,8887.929,1913.02819629789
1873,"Bahrain",36.2005545,34.73104075,1124.2853875
1873,"Bangladesh",14388.79175,3582.22692307692,288.24641125
1873,"Belgium",5219,14717.885,2820.05844031424
1873,"Benin",557.57164,302.00250375,515.848095
1873,"Bolivia",1515.1,468.896032,494.304728
1873,"Botswana",143.47567625,24.993021875,165.902355
1873,"Brazil",10358,7504,724.4642
1873,"Burkina.Faso",1458.7677125,345.8441725,225.7907725
1873,"Burma",4731.6,2641.54838709677,522.764109677419
1873,"Burundi",787.53271875,141.76613,171.4414875
1873,"Cambodia",2390.93023255814,309.69374875,257.49167375
1873,"Cameroon",1629.249375,546.39670375,319.3981675
1873,"Cape.Verde",48.802574,10.968433325,214.0493525
1873,"Central.Africa.Republic",419.95226375,161.96034375,367.2999575
1873,"Chad",869.2843675,206.606485,226.35715
1873,"Chile",2036.939,2885.62,1416.645
1873,"China",360971,192085.85,531.570665
1873,"Colombia",2538.55,1606.4511,546.02098
1873,"Comoro.Islands",49.353924375,13.8221595,266.72653
1873,"Congo",275.44489875,164.9666875,570.3920275
1873,"Costa.Rica",153,127.639183,524.77936
1873,"Cote.d.Ivoire",953.46009625,496.057325,495.49739125
1873,"Cuba",1363.7,920.78,533.099954237288
1873,"Denmark",1935,3979.47,2056.57364341085
1873,"Djibouti",20.012641625,15.00044575,713.857715
1873,"Dominican.Rep.",269.3,216.6449575,267.3745375
1873,"Ecuador",1051.7,461.885991304348,469.213504347826
1873,"Egypt",7404.46511627907,5017.90697674419,666.391148837209
1873,"El.Salvador",519.4,212.607506,380.045864
1873,"Equatorial.Guinea",70.4036095,18.994474,256.9474675
1873,"Eritrea.and.Ethiopia",7192.5893875,1402.369325,185.69032375
1873,"Finland",1847,2204.205,1193.39740119112
1873,"France",37887,72822.456,1922.09612795946
1873,"Gabon",138.59346875,215.3307075,1479.705725
1873,"Gambia",90.45925175,27.461998125,289.12860875
1873,"Germany",40017,79980.884,1998.67266411775
1873,"Ghana",1611.37209302326,755.93023255814,462.733948837209
1873,"Guatemala",1102,437.3088,530.200052
1873,"Guinea",861.8641925,130.6684975,144.39232625
1873,"Guinea.Bissau",191.09553625,27.6189565,137.6476925
1873,"Haiti",1191,291.683264,275.36328
1873,"Honduras",413.6,150.808538,362.318982
1873,"Hong.Kong",136.65,121.604651162791,724.531497674419
1873,"India",254253,137352.071428571,536.857064285714
1873,"Indonesia",33730.73,19660,582.8513
1873,"Iran",8594.93023255814,6394.93023255814,738.562046511628
1873,"Iraq",1652.06976744186,1239.04651162791,738.592837209302
1873,"Israel",405.42194,520.7195675,1505.11905
1873,"Italy",28387,43274.153394397,1524.43560060581
1873,"Jamaica",521.1,283.883720930233,540.166904651163
1873,"Japan",35070,26338,751.0123
1873,"Jordan",271.720930232558,201.953488372093,737.716372093023
1873,"Kenya",2040.4602375,663.54818875,309.710735
1873,"Kuwait",45.636528875,600.82075125,15427.8829125
1873,"Laos",799.093023255814,166.12804,327.45903625
1873,"Lebanon",488.06976744186,435.06976744186,879.786481395349
1873,"Lesotho",242.06846625,42.99755275,169.16768
1873,"Liberia",274.63716625,144.79113,502.10526
1873,"Libya",320.4453575,137.2934025,408.04452125
1873,"Madagascar",1540.1954125,732.13417,452.71703125
1873,"Malawi",938.89696125,152.07818,154.26280375
1873,"Malaysia",917.75,665.073170731707,672.620163414634
1873,"Mali",1229.257675,280.71791125,217.4899
1873,"Mauritania",335.20913,77.729587,220.8423675
1873,"Mauritius",160.4285175,199.6495625,1185.219225
1873,"Mexico",9558,7060.9,724.61163
1873,"Mongolia",671.976744186047,48.717478625,232.62026625
1873,"Morocco",3869.13953488372,2230.93023255814,573.29968372093
1873,"Mozambique",2083.5485375,1180.38622,539.55106625
1873,"Namibia",154.581315,166.87100625,1028.10145
1873,"Nepal",4772.1,1946.90697674419,406.880741860465
1873,"Netherlands",3670,10472,2853.40599455041
1873,"New.Zealand",335,1283.382,3830.991
1873,"Nicaragua",351.1,138.927674,427.581974
1873,"Niger",1090.392575,336.2942525,293.73013
