""	"year"	"country"	"population"	"gdp"	"per_capita_gdp"
"202"	"1970"	"usa"	"205052"	"205052"	"205052"
"203"	"1971"	"canada"	"22026.4"	"22026.4"	"22026.4"
"204"	"1971"	"usa"	"207661"	"207661"	"207661"
"205"	"1972"	"canada"	"22284.5"	"22284.5"	"22284.5"
"206"	"1972"	"usa"	"209896"	"209896"	"209896"
"207"	"1973"	"canada"	"22559.5"	"22559.5"	"22559.5"
"208"	"1973"	"usa"	"211909"	"211909"	"211909"
"209"	"1974"	"canada"	"22874.7"	"22874.7"	"22874.7"
"210"	"1974"	"usa"	"213854"	"213854"	"213854"
"211"	"1975"	"canada"	"23209.2"	"23209.2"	"23209.2"
"212"	"1975"	"usa"	"215973"	"215973"	"215973"
"213"	"1976"	"canada"	"23517.5"	"23517.5"	"23517.5"
"214"	"1976"	"usa"	"218035"	"218035"	"218035"
"215"	"1977"	"canada"	"23796.4"	"23796.4"	"23796.4"
"216"	"1977"	"usa"	"220239"	"220239"	"220239"
"217"	"1978"	"canada"	"24036.3"	"24036.3"	"24036.3"
"218"	"1978"	"usa"	"222585"	"222585"	"222585"
"219"	"1979"	"canada"	"24276.9"	"24276.9"	"24276.9"
"220"	"1979"	"usa"	"225055"	"225055"	"225055"
"221"	"1980"	"canada"	"24593.3"	"24593.3"	"24593.3"
"222"	"1980"	"usa"	"227726.463"	"227726.463"	"227726.463"
"223"	"1981"	"canada"	"24900"	"24900"	"24900"
"224"	"1981"	"usa"	"229966.237"	"229966.237"	"229966.237"
"225"	"1982"	"canada"	"25201.9"	"25201.9"	"25201.9"
"226"	"1982"	"usa"	"232187.835"	"232187.835"	"232187.835"
"227"	"1983"	"canada"	"25456.3"	"25456.3"	"25456.3"
"228"	"1983"	"usa"	"234307.207"	"234307.207"	"234307.207"
"229"	"1984"	"canada"	"25701.8"	"25701.8"	"25701.8"
"230"	"1984"	"usa"	"236348.292"	"236348.292"	"236348.292"
"231"	"1985"	"canada"	"25941.6"	"25941.6"	"25941.6"
"232"	"1985"	"usa"	"238466.283"	"238466.283"	"238466.283"
"233"	"1986"	"canada"	"26203.8"	"26203.8"	"26203.8"
"234"	"1986"	"usa"	"240650.755"	"240650.755"	"240650.755"
"235"	"1987"	"canada"	"26549.7"	"26549.7"	"26549.7"
"236"	"1987"	"usa"	"242803.533"	"242803.533"	"242803.533"
"237"	"1988"	"canada"	"26894.8"	"26894.8"	"26894.8"
"238"	"1988"	"usa"	"245021.414"	"245021.414"	"245021.414"
"239"	"1989"	"canada"	"27379.3"	"27379.3"	"27379.3"
"240"	"1989"	"usa"	"247341.697"	"247341.697"	"247341.697"
"241"	"1990"	"canada"	"27790.6"	"27790.6"	"27790.6"
