"Country","start_year","end_year","Delta_Population","Delta_GDP","Delta_Per_Capita_GDP","pct_change_Population","pct_change_GDP","pct_change_Per_Capita_GDP"
"Finland",1910,1915,154,217.225999999999,-24.7703476824809,0.0525776715602595,0.0389016018306634,-0.012992931637362
"Finland",1915,1920,50,-19.1669999999995,-36.1477431657536,0.0162179695102173,-0.00330396475770916,-0.019210380896271
"Finland",1920,1925,171,1910.311,482.665071653854,0.0545802744972869,0.330386740331492,0.261531978649686
"Finland",1925,1930,145,1501.415,337.438891646314,0.0438861985472155,0.195182724252492,0.144935842542833
"Finland",1930,1935,127,1865.588,427.028105851126,0.036822267323862,0.202918693537178,0.160197587810327
"Finland",1935,1940,122,849.737000000003,127.75344690219,0.0341163310961969,0.0768341998844601,0.0413085718731285
"Finland",1940,1945,60,1054.185,229.100606285463,0.0162249864791779,0.088519313304721,0.0711400799895845
"Finland",1945,1950,250.9,4087.719,803.77047173684,0.0667642362959021,0.31533058644644,0.233009639518502
"Finland",1950,1955,226,4957,943.530488343335,0.0563745665893386,0.290716087033019,0.221835632791015
"Finland",1955,1960,194.700000000001,5590,1033.54247437782,0.0459751115728827,0.253998545983279,0.198879908430691
"Finland",1960,1965,134.132,7404,1439.24083029107,0.0302808379989163,0.268280310167403,0.231004463434209
"Finland",1965,1970,42.5749999999998,9112,1907.26904875824,0.00932898776702923,0.260327981258214,0.248679069493959
"Finland",1970,1975,105.132000000001,9791,1864.43347327923,0.0228234896197758,0.221947681008297,0.194680894024582
"Finland",1975,1980,68.0959999999995,7985,1507.65567105386,0.0144533336842522,0.148130971152954,0.13177307721314
"Finland",1980,1985,122.248000000001,9294,1573.10426238978,0.0255773835739252,0.150169655841008,0.121485003728246
"Finland",1985,1990,84.6479999999992,12919,2344.30927405616,0.0172688183055021,0.181487412901776,0.161430874161481
"Finland",1990,1995,118.223000000001,-3691.02855477316,-1113.69382665837,0.0237089413249679,-0.0438870023039982,-0.0660304319912241
"Finland",1995,2000,63.9409999999998,21773.0285547732,4017.68499219512,0.0125260203727813,0.270768495827813,0.255047742239706
"Finland",2000,2005,54.8469999999998,13465,2370.21008247843,0.0106115878686567,0.13177080784851,0.119887028245316
"France",1870,1875,-219,12715.032,343.418526266444,-0.00569719042663892,0.176352705410822,0.183093011590277
"France",1875,1880,824,-2022.84600000002,-98.6389807028731,0.0215588289160409,-0.0238500851788759,-0.0444506109776365
"France",1880,1885,688,4912.62600000002,86.924471477153,0.0176206940709438,0.0593368237347297,0.0409937906204547
"France",1885,1890,281,7368.93899999998,168.657778239096,0.00707220698160219,0.0840197693574957,0.0764071948788267
"France",1890,1895,84,7946.895,193.209385868769,0.00209926525715999,0.0835866261398177,0.0813166556526178
"France",1895,1900,500,13726.455,306.464458452229,0.0124694498478727,0.133239831697055,0.119282988605067
"France",1900,1905,292,1589.37900000002,18.3340328522922,0.00719247253559289,0.0136138613861387,0.00637553300451116
"France",1905,1910,334,3901.20299999998,71.18669251356,0.00816825629738322,0.0329670329670328,0.0245978550849498
"France",1910,1915,-743,9247.296,282.859732032085,-0.0180234814671065,0.0756501182033097,0.0953929120528949
"France",1915,1920,-1481,-5635.07100000001,-21.1457473629607,-0.0365850645982066,-0.0428571428571429,-0.00651025641025651
"France",1920,1925,1610,43346.7,939.457207338094,0.0412820512820513,0.34443168771527,0.291131145552709
"France",1925,1930,1000,19361.526,365.180192085121,0.0246244767298695,0.114432109308284,0.0876493140833788
"France",1930,1935,330,-17194.191,-445.627212012629,0.00793078586878154,-0.0911877394636015,-0.0983386227725431
"France",1935,1940,-940,-5635.071,-43.7633093618056,-0.022412970910825,-0.0328836424957841,-0.0107107308847118
"France",1940,1945,-1300,-63575.16,-1469.02624076918,-0.0317073170731707,-0.38360941586748,-0.363425341324098
"France",1945,1950,2818,118338.277,2612.70906124809,0.0709823677581864,1.15843332503897,1.01537708744643
"France",1950,1955,1700,53606,1012.93712543541,0.0399830659955783,0.243119931788908,0.195327089868398
"France",1955,1960,2366,70511,1198.79503710509,0.0535076213306798,0.257247407861422,0.193391848720942
"France",1960,1965,3218,111847,1767.83218250437,0.069079512278894,0.324562039877078,0.23897429953885
"France",1965,1970,2116,135933,2244.67394290613,0.0424882534837958,0.297800883327199,0.244906960812458
"France",1970,1975,2037,106717,1547.11609182732,0.0392349474170808,0.180146829195005,0.135591939174243
"France",1975,1980,1155,114657,1808.9535136011,0.0214067278287462,0.164005172320077,0.139609854337321
"France",1980,1985,1380,63542,764.112252490144,0.025040827436037,0.0780841596386171,0.051747531203473
"France",1985,1990,1678,149186,2116.734381844,0.0297043724553018,0.170050324573552,0.13629732559414
"France",1990,1995,1544,69180.8646933176,702.269035101839,0.0265438041534865,0.0673954907479146,0.0397953661881144
"France",1995,2000,1425,152849.135306682,2072.41800357015,0.0238645498392283,0.139502656070726,0.112942777684465
"France",2000,2005,1775,106356,1114.37398635839,0.0290331550452263,0.0851855915919716,0.0545681509594093
"Gabon",1870,1875,17.99828125,69.9370125,105.757875,0.140837682764125,0.403400920582459,0.0746745280321073
"Gabon",1875,1880,17.99828125,69.9370125,105.757875,0.123451113941898,0.287445244381793,0.0694857150553738
"Gabon",1880,1885,17.99828125,69.9370125,105.757875,0.109885612653621,0.22326793751902,0.0649711483540256
"Gabon",1885,1890,17.99828125,69.9370125,105.757875,0.0990062501944644,0.18251760768932,0.061007425839134
"Gabon",1890,1895,17.99828125,69.9370125,105.757875,0.0900870674547536,0.154346630022673,0.0574995276690775
"Gabon",1895,1900,17.99828125,69.9370125,105.757875,0.0826420844209242,0.133709083570194,0.0543731000956727
"Gabon",1900,1905,17.99828125,69.9370124999999,105.757875,0.0763337077046356,0.117939500977735,0.0515691268022099
"Gabon",1905,1910,17.99828125,69.9370125,105.757875,0.0709201125619518,0.105497212393503,0.049040168152359
"Gabon",1910,1915,17.99828125,69.9370125,105.757875,0.0662235322038076,0.0954296503064823,0.0467476552768538
"Gabon",1915,1920,17.99828125,69.9370124999999,105.757875,0.0621103644813844,0.0871161833895792,0.0446599092352295
"Gabon",1920,1925,17.99828125,69.9370125,105.757875,0.0584782585298583,0.0801351177736634,0.0427506682705228
"Gabon",1925,1930,17.99828125,69.9370125,105.757875,0.0552474819946514,0.0741899012957148,0.0409979773414364
"Gabon",1930,1935,17.99828125,69.9370125,105.757875,0.0523550000709043,0.0690659083707872,0.0393833400581043
"Gabon",1935,1940,17.99828125,69.9370125,105.757875,0.0497503219611031,0.0646039760785571,0.0378910634221851
"Gabon",1940,1945,17.99828125,69.9370124999998,105.757875,0.0473925284139579,0.0606835757992602,0.0365077460993343
"Gabon",1945,1950,17.99828125,69.9370125,105.757875,0.0452481062526991,0.0572117615317398,0.0352218748356903
"Gabon",1950,1955,13.005,255.8874,502.512,0.0312795387801341,0.197999985607733,0.161663787886733
"Gabon",1955,1960,17.231,317.9208,573.318,0.0401868592165533,0.205342283320096,0.158774750483884
"Gabon",1960,1965,28.383,439.4026,675.91,0.0636385853906813,0.235457037141708,0.16153837513297
"Gabon",1965,1970,40.1929999999999,714.6755,1009.238,0.0847263620764523,0.309977591239309,0.207657140764307
"Gabon",1970,1975,132.857,3069.3567,3536.368,0.258185817921058,1.01626016017895,0.602513904849852
"Gabon",1975,1980,66.391,-1252.2976,-2629.142,0.102544498606812,-0.205645171951009,-0.279525773829402
"Gabon",1980,1985,119.209,9.04660000000058,-958.882000000001,0.166999847301937,0.00187017315278034,-0.141499378521411
"Gabon",1985,1990,105.048,-346.3527,-1020.687,0.126102593405327,-0.0714666722461203,-0.175445137330068
"Gabon",1990,1995,130.981,648,18.4110000000001,0.139626088921675,0.144,0.00383801416381699
"Gabon",1995,2000,167.364,-395,-971.288,0.156551753167488,-0.0767288267288267,-0.20170356789009
"Gabon",2000,2005,159.261,427,-132.709,0.128807234382241,0.0898379970544919,-0.0345224608396948
"Gambia",1870,1875,11.74738625,8.919346875,20.66468125,0.14083767849303,0.403400703244041,0.074674578776843
"Gambia",1875,1880,11.74738625,8.919346875,20.66468125,0.123451110660254,0.287445134031611,0.0694857589930479
"Gambia",1880,1885,11.74738625,8.919346875,20.66468125,0.109885610053562,0.223267870943348,0.0649711867678077
"Gambia",1885,1890,11.74738625,8.919346875,20.66468125,0.0990062480837633,0.182517563198296,0.0610074597088354
"Gambia",1890,1895,11.74738625,8.91934687500001,20.66468125,0.0900870657072164,0.154346598205823,0.0574995577557742
"Gambia",1895,1900,11.74738625,8.91934687499999,20.66468125,0.0826420829502922,0.133709059692921,0.0543731269995042
"Gambia",1900,1905,11.74738625,8.919346875,20.66468125,0.076333706449952,0.117939482400483,0.0515691510027737
"Gambia",1905,1910,11.74738625,8.919346875,20.66468125,0.070920111478922,0.105497197529189,0.0490401900375239
"Gambia",1910,1915,11.74738625,8.919346875,20.66468125,0.0662235312594725,0.095429638143794,0.0467476751636844
"Gambia",1915,1920,11.74738625,8.919346875,20.66468125,0.0621103636507123,0.0871161732537195,0.0446599273854363
"Gambia",1920,1925,11.74738625,8.919346875,20.66468125,0.058478257793498,0.0801351091971913,0.0427506849020338
"Gambia",1925,1930,11.74738625,8.91934687499999,20.6646812499999,0.0552474813374077,0.0741898939446116,0.0409979926371855
"Gambia",1930,1935,11.74738625,8.919346875,20.6646812500001,0.0523549994806789,0.0690659020000399,0.0393833541727823
"Gambia",1935,1940,11.74738625,8.919346875,20.6646812499999,0.0497503214281446,0.0646039705043715,0.0378910764874874
"Gambia",1940,1945,11.74738625,8.919346875,20.6646812500001,0.047392527930319,0.0606835708810708,0.0365077582280807
"Gambia",1945,1950,11.74738625,8.919346875,20.6646812499999,0.0452481058118376,0.0572117571602087,0.0352218861250888
"Gambia",1950,1955,35.021,38.56787,56.4553000000001,0.129053060592772,0.234000024511597,0.0929512367116497
"Gambia",1955,1960,45.563,50.59972,57.8318999999999,0.148709161526159,0.24878442813264,0.0871198517670451
"Gambia",1960,1965,59.994,94.44183,124.1592,0.170460260318849,0.371836483468303,0.17204860127161
"Gambia",1965,1970,72.633,77.46538,33.0835,0.176316370795272,0.222327360702324,0.0391145256901925
"Gambia",1970,1975,85.44,172.40166,170.7114,0.176317635890875,0.404798753795363,0.194234211929394
"Gambia",1975,1980,100.503,98.23269,-10.8212000000001,0.176314866145048,0.164187332566267,-0.0103097733816309
"Gambia",1980,1985,119.759,-87.68421,-268.3701,0.178605357310637,-0.125887362435932,-0.258350045168162
"Gambia",1985,1990,158.973,224.15512,107.1156,0.201159839146026,0.368164580771378,0.139036287858993
"Gambia",1990,1995,200.532,112,-55.6389,0.21125198181732,0.134453781512605,-0.0634039645126784
"Gambia",1995,2000,218.097,279,72.9213,0.189684698122348,0.295238095238095,0.0887237656945917
"Gambia",2000,2005,227.202,283,49.9639000000001,0.166097417617283,0.231209150326797,0.0558372718670623
"Germany",1870,1875,1666,14239.92,273.272209385671,0.0424664168642145,0.197368421052631,0.148591841120761
"Germany",1875,1880,2603,237.332000000009,-120.945276057963,0.0636477003203169,0.00274725274725286,-0.0572562207907033
"Germany",1880,1885,1584,13290.592,224.829300952399,0.0364137931034483,0.153424657534247,0.112899756071771
"Germany",1885,1890,2523,15663.912,211.572861841685,0.0559622038860793,0.156769596199525,0.0954649626117879
"Germany",1890,1895,2756,19698.556,258.275231808458,0.0578906463335224,0.170431211498973,0.106382040105467
"Germany",1895,1900,4025,27055.848,298.675453752277,0.0799197823799218,0.2,0.11119364565713
"Germany",1900,1905,4256,19698.556,119.286209713856,0.0782525557108186,0.121345029239766,0.0399651021467225
"Germany",1905,1910,4240,28479.84,243.602301091451,0.072300661619262,0.15645371577575,0.0784789725200858
"Germany",1910,1915,3346,-18511.896,-448.635445043351,0.0532090833916418,-0.0879368658399098,-0.134015127155019
"Germany",1915,1920,-5336,-21766.588,-103.416725713637,-0.0805677185565454,-0.113366708196184,-0.0356730890372334
"Germany",1920,1925,2272,52847,736.082809416146,0.0373107366899859,0.3104355743531,0.263300887576508
"Germany",1925,1930,1918,35520,441.679072620544,0.0303644365639743,0.15922396248913,0.125062086143881
"Germany",1930,1935,1787,16894,146.45526662672,0.0274568250261201,0.0653281877170323,0.0368593227165042
"Germany",1935,1940,2964,101788,1282.69313293211,0.0443241464910051,0.369471789064088,0.311347433328626
"Germany",1940,1945,-2835,-74827,-888.222324690715,-0.0405956898403379,-0.198330700480275,-0.164409320418507
"Germany",1945,1950,1374.572,-37103,-633.396400814034,0.020516,-0.122671983124874,-0.140309395565453
"Germany",1950,1955,1821.03999999999,141568,1916.08485737556,0.0266332928562974,0.533506184191684,0.493723411136575
"Germany",1955,1960,2285.25700000001,151560,1908.26118640863,0.0325555534724879,0.372454671902723,0.329182403103788
"Germany",1960,1965,3157.98199999999,136316,1480.49594472898,0.0435698694506545,0.244083068030841,0.192141613561283
"Germany",1965,1970,2144.31300000001,148305,1653.41591821519,0.0283493597754415,0.21345052806715,0.179998330851423
"Germany",1970,1975,899.160999999993,104280,1201.46250715806,0.0115598408930754,0.123685955334046,0.110844766575527
"Germany",1975,1980,-384.421000000002,157716,2073.42283916489,-0.00488573513810125,0.16647543812798,0.172202509115737
"Germany",1980,1985,-612.996999999988,71032,1025.73152741434,-0.00782903460608586,0.0642765942236849,0.0726746007943735
"Germany",1985,1990,1695.48699999999,88307,789.083138221426,0.0218251789887577,0.0750826225990132,0.0521199170908679
"Germany",1990,1995,2273.308,148074.620422233,1369.97400835209,0.0286381546556698,0.117107062918255,0.086005859166482
"Germany",1995,2000,534.206999999995,144415.379577767,1644.69726706847,0.00654234880863081,0.10224006319646,0.0950756960212355
"Germany",2000,2005,243.481,43647,473.54064621991,0.00296249172125793,0.0280340516709829,0.0249975050479683
"Ghana",1870,1875,53.9534883720901,104.883720930233,39.747581395349,0.0341694036555352,0.151347360649687,0.0905648294414647
"Ghana",1875,1880,53.9534883720999,104.883720930232,39.747581395349,0.0330404318042682,0.131452388586085,0.0830439667560595
"Ghana",1880,1885,53.9534883720901,104.883720930235,39.747581395348,0.0319836772957231,0.116180221025789,0.0766764501766177
"Ghana",1885,1890,53.9534883720901,104.88372093023,39.747581395349,0.0309924255580623,0.104087331810101,0.0712158700638819
"Ghana",1890,1895,53.9534883720999,104.88372093023,39.7475813953489,0.0300607694002137,0.094274545872612,0.0664813433539169
"Ghana",1895,1900,53.9534883720901,104.88372093024,39.747581395349,0.0291834912009242,0.0861525530573714,0.0623370898780504
"Ghana",1900,1905,53.9534883720901,104.88372093023,39.747581395349,0.0283559651417171,0.0793190172180282,0.0586791993539511
"Ghana",1905,1910,53.9534883720899,104.88372093023,39.747581395349,0.0275740756147695,0.0734898727370478,0.0554267991566846
"Ghana",1910,1915,208.28852545569,297.93834066625,42.285246134506,0.103593770251046,0.194467867585251,0.055868863545329
"Ghana",1915,1920,439.79108108108,587.52027027027,46.091743243244,0.198200831114208,0.321047905562373,0.0576758661333901
"Ghana",1920,1925,439.79108108108,587.52027027027,46.0917432432431,0.165415367747576,0.243025180396999,0.0545307574656479
"Ghana",1925,1930,439.79108108109,587.52027027027,46.0917432432429,0.141936834132608,0.195511067860573,0.0517109217342332
"Ghana",1930,1935,439.79108108108,587.52027027027,46.0917432432431,0.124294820773004,0.163537647719523,0.0491683795096127
